pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7n8h	C	B	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/14/21	SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 Global Refinement	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7neg	H	L	0	E	protein	NA	surface glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/03/21	Crystal structure of the N501Y mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-269 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	2.19	X-RAY DIFFRACTION	0.223	0.195	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7e3l	H	L	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	09/15/21	Ultrapotent SARS-CoV-2 neutralizing antibodies with protective efficacy against newly emerged mutational variants	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Li, T., Liu, F., Gao, Y., Ji, X., Yang, H.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7e3l	D	E	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	09/15/21	Ultrapotent SARS-CoV-2 neutralizing antibodies with protective efficacy against newly emerged mutational variants	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Li, T., Liu, F., Gao, Y., Ji, X., Yang, H.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7e3l	F	G	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	09/15/21	Ultrapotent SARS-CoV-2 neutralizing antibodies with protective efficacy against newly emerged mutational variants	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Li, T., Liu, F., Gao, Y., Ji, X., Yang, H.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7e3o	H	L	0	R	protein	NA	spike protein s1	VIRAL PROTEIN	09/15/21	Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody nCoV617	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Chen, S.D., Yang, M.	2.51	X-RAY DIFFRACTION	0.259	0.204	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7e3k	F	G	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	09/15/21	Ultrapotent SARS-CoV-2 neutralizing antibodies with protective efficacy against newly emerged mutational variants	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Li, T., Liu, F., Gao, Y., Ji, X., Yang, H.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7e3k	H	L	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	09/15/21	Ultrapotent SARS-CoV-2 neutralizing antibodies with protective efficacy against newly emerged mutational variants	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Li, T., Liu, F., Gao, Y., Ji, X., Yang, H.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7e3k	D	E	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	09/15/21	Ultrapotent SARS-CoV-2 neutralizing antibodies with protective efficacy against newly emerged mutational variants	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, H., Li, T., Liu, F., Gao, Y., Ji, X., Yang, H.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7e3c	B	C	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/01/21	SARS-CoV-2 spike in complex with the Ab1 neutralizing antibody (focused refinement on Fab-RBD)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, C.	4.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7e3b	B	C	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/01/21	SARS-Cov-2 spike in complex with the Ab5 neutralizing antibody (focused refinement on Fab-RBD)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, C.	4.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
7e39	C	B	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/01/21	SARS-CoV-2 spike in complex with the Ab4 neutralizing antibody (State 3)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, C.	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7tn0	M	N	0	S	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	02/02/22	SARS-CoV-2 Omicron RBD in complex with human ACE2 and S304 Fab and S309 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Snell, G., McCallum, M., Veesler, D., Nix, J.C., Croll, T.I., Dillen, J.R., Czudnochowski, N.	2.85	X-RAY DIFFRACTION	0.268	0.230	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7tn0	C	D	0	S	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	02/02/22	SARS-CoV-2 Omicron RBD in complex with human ACE2 and S304 Fab and S309 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Snell, G., McCallum, M., Veesler, D., Nix, J.C., Croll, T.I., Dillen, J.R., Czudnochowski, N.	2.85	X-RAY DIFFRACTION	0.268	0.230	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7tn0	H	G	0	I	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	02/02/22	SARS-CoV-2 Omicron RBD in complex with human ACE2 and S304 Fab and S309 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Snell, G., McCallum, M., Veesler, D., Nix, J.C., Croll, T.I., Dillen, J.R., Czudnochowski, N.	2.85	X-RAY DIFFRACTION	0.268	0.230	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7tn0	B	A	0	I	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	02/02/22	SARS-CoV-2 Omicron RBD in complex with human ACE2 and S304 Fab and S309 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Snell, G., McCallum, M., Veesler, D., Nix, J.C., Croll, T.I., Dillen, J.R., Czudnochowski, N.	2.85	X-RAY DIFFRACTION	0.268	0.230	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7s3n	H	L	0	A	peptide	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	10/27/21	SARS-CoV-2 S stem helix peptide bound to Fab22	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	severe acute respiratory syndrome coronavirus2 	Goldsmith, J.A., McLellan, J.S.	1.9	X-RAY DIFFRACTION	0.221	0.182	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7s3m	H	L	0	A	peptide	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	10/27/21	MERS-CoV S stem helix peptide bound to Fab22	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	middle east respiratory syndrome-relatedcoronavirus 	Goldsmith, J.A., McLellan, J.S.	2.4	X-RAY DIFFRACTION	0.252	0.209	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4zpv	H	L	0	R	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	05/08/15	Structure of MERS-Coronavirus Spike Receptor-binding Domain (England1 Strain) in Complex with Vaccine-Elicited Murine Neutralizing Antibody D12 (Crystal Form 2)	HUMAN CORONAVIRUS EMC (ISOLATE UNITED KINGDOM/H123990006/2012); MUS MUSCULUS	mus musculus	mus musculus	human coronavirus emc (isolate unitedkingdom/h123990006/2012) 	Joyce, M.G., Mascola, J.R., Graham, B.S., Kwong, P.D.	3.2	X-RAY DIFFRACTION	0.281	0.223	False	False	IGHV5	IGKV10	Kappa	None	None	None	None	None
4zpv	A	B	0	S	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	05/08/15	Structure of MERS-Coronavirus Spike Receptor-binding Domain (England1 Strain) in Complex with Vaccine-Elicited Murine Neutralizing Antibody D12 (Crystal Form 2)	HUMAN CORONAVIRUS EMC (ISOLATE UNITED KINGDOM/H123990006/2012); MUS MUSCULUS	mus musculus	mus musculus	human coronavirus emc (isolate unitedkingdom/h123990006/2012) 	Joyce, M.G., Mascola, J.R., Graham, B.S., Kwong, P.D.	3.2	X-RAY DIFFRACTION	0.281	0.223	False	False	IGHV5	IGKV10	Kappa	None	None	None	None	None
4zpt	H	L	0	S	protein	NA	spike glycoprotein	Viral protein/Immune system	05/08/15	Structure of MERS-Coronavirus Spike Receptor-binding Domain (England1 Strain) in Complex with Vaccine-Elicited Murine Neutralizing Antibody D12 (Crystal Form 1)	HUMAN CORONAVIRUS EMC (ISOLATE UNITED KINGDOM/H123990006/2012); MUS MUSCULUS	mus musculus	mus musculus	human coronavirus emc (isolate unitedkingdom/h123990006/2012) 	Joyce, M.G., Mascola, J.R., Graham, B.S., Kwong, P.D.	2.591	X-RAY DIFFRACTION	0.244	0.204	False	False	IGHV5	IGKV10	Kappa	9.93e-09	-10.91811468499047	BLI	NA	TBD
4zpt	A	B	0	R	protein	NA	spike glycoprotein	Viral protein/Immune system	05/08/15	Structure of MERS-Coronavirus Spike Receptor-binding Domain (England1 Strain) in Complex with Vaccine-Elicited Murine Neutralizing Antibody D12 (Crystal Form 1)	HUMAN CORONAVIRUS EMC (ISOLATE UNITED KINGDOM/H123990006/2012); MUS MUSCULUS	mus musculus	mus musculus	human coronavirus emc (isolate unitedkingdom/h123990006/2012) 	Joyce, M.G., Mascola, J.R., Graham, B.S., Kwong, P.D.	2.591	X-RAY DIFFRACTION	0.244	0.204	False	False	IGHV5	IGKV10	Kappa	9.93e-09	-10.91811468499047	BLI	NA	TBD
7mw6	D	E	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	03/16/22	Structure of the SARS-CoV-2 Spike trimer with three RBDs up in complex with the Fab fragment of human neutralizing antibody clone 2	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hu, Y., Xiong, Y.	3.22	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7mw6	F	G	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	03/16/22	Structure of the SARS-CoV-2 Spike trimer with three RBDs up in complex with the Fab fragment of human neutralizing antibody clone 2	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hu, Y., Xiong, Y.	3.22	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7mw6	H	L	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	03/16/22	Structure of the SARS-CoV-2 Spike trimer with three RBDs up in complex with the Fab fragment of human neutralizing antibody clone 2	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hu, Y., Xiong, Y.	3.22	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7rxd	H	L	0	B	protein	NA	maltodextrin-binding protein,immunoglobulin g-bindingprotein a,immunoglobulin g-binding protein g 	STRUCTURAL PROTEIN	10/06/21	CryoEM structure of RBD domain of COVID-19 in complex with Legobody	ESCHERICHIA COLI; STAPHYLOCOCCUS AUREUS; STREPTOCOCCUS SP.; MUS MUSCULUS; VICUGNA PACOS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	mus musculus	mus musculus	escherichia coli, staphylococcus aureus,streptococcus sp. 	Wu, X.D., Rapoport, T.A.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGKV8	Kappa	None	None	None	None	None
7rxd	N	NA	0	R	protein	NA	spike protein s1	STRUCTURAL PROTEIN	10/06/21	CryoEM structure of RBD domain of COVID-19 in complex with Legobody	ESCHERICHIA COLI; STAPHYLOCOCCUS AUREUS; STREPTOCOCCUS SP.; MUS MUSCULUS; VICUGNA PACOS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Wu, X.D., Rapoport, T.A.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
4f2m	C	D	0	F	protein	NA	spike protein	VIRAL PROTEIN/IMMUNE SYSTEM	05/08/12	Crystal structure of a TGEV coronavirus Spike fragment in complex with the TGEV neutralizing monoclonal antibody 1AF10	TGEV VIRULENT PURDUE; MUS MUSCULUS	mus musculus	mus musculus	tgev virulent purdue	Reguera, J., Santiago, C., Mudgal, G., Ordono, D., Enjuanes, L., Casasnovas, J.M.	3.0	X-RAY DIFFRACTION	0.251	0.216	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
4f2m	A	B	0	E	protein	NA	spike protein	VIRAL PROTEIN/IMMUNE SYSTEM	05/08/12	Crystal structure of a TGEV coronavirus Spike fragment in complex with the TGEV neutralizing monoclonal antibody 1AF10	TGEV VIRULENT PURDUE; MUS MUSCULUS	mus musculus	mus musculus	tgev virulent purdue	Reguera, J., Santiago, C., Mudgal, G., Ordono, D., Enjuanes, L., Casasnovas, J.M.	3.0	X-RAY DIFFRACTION	0.251	0.216	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
7e5y	H	L	0	R	protein	NA	spike protein s1	VIRAL PROTEIN	06/23/21	Molecular basis for neutralizing antibody 2B11 targeting SARS-CoV-2 RBD	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wu, H., Yu, F., Wang, Q.S., Zhou, H., Wang, W.W., Zhao, T., Pan, Y.B., Yang, X.M.	3.59	X-RAY DIFFRACTION	0.277	0.232	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7e5y	C	B	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	06/23/21	Molecular basis for neutralizing antibody 2B11 targeting SARS-CoV-2 RBD	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wu, H., Yu, F., Wang, Q.S., Zhou, H., Wang, W.W., Zhao, T., Pan, Y.B., Yang, X.M.	3.59	X-RAY DIFFRACTION	0.277	0.232	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7e5s	U	Q	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	11/17/21	SARS-CoV-2 S trimer with four-antibody cocktail complex	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sun, Y., Wang, L., Wang, N., Feng, R., Wang, X.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
7e5s	R	O	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	11/17/21	SARS-CoV-2 S trimer with four-antibody cocktail complex	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sun, Y., Wang, L., Wang, N., Feng, R., Wang, X.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGKV3	Kappa	None	None	None	None	None
7e5s	P	N	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	11/17/21	SARS-CoV-2 S trimer with four-antibody cocktail complex	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sun, Y., Wang, L., Wang, N., Feng, R., Wang, X.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
7e5s	I	K	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	11/17/21	SARS-CoV-2 S trimer with four-antibody cocktail complex	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sun, Y., Wang, L., Wang, N., Feng, R., Wang, X.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7e5s	V	S	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	11/17/21	SARS-CoV-2 S trimer with four-antibody cocktail complex	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sun, Y., Wang, L., Wang, N., Feng, R., Wang, X.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
7e5s	L	D	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	11/17/21	SARS-CoV-2 S trimer with four-antibody cocktail complex	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sun, Y., Wang, L., Wang, N., Feng, R., Wang, X.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
7e5s	E	H	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	11/17/21	SARS-CoV-2 S trimer with four-antibody cocktail complex	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sun, Y., Wang, L., Wang, N., Feng, R., Wang, X.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
7e5s	J	T	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	11/17/21	SARS-CoV-2 S trimer with four-antibody cocktail complex	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sun, Y., Wang, L., Wang, N., Feng, R., Wang, X.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
